#
# utfjpmap.txt 日本語文字コード <-> Unicode間相互変換ライブラリ
#
# Ver 1.00 2004/04/15
#
# Copyright(C) 1991-2004 Unicode, Inc. All rights reserved.
#
#
# JIS<->Unicode(UCS-2,UCS-4)間のマッピングテーブル
#
#
# 本マッピングテーブルはUnicode, Inc.が作成したマッピングテーブルを
# 改造者(毛流麦花)が改造し、Unicode, Inc.の定める利用規程に
# 従って再配布するものです。使用するには
# Unicode, Inc.及び改造者が定める利用規定に同意する必要があります。
#
# [Unicode, Inc.の定める利用規定]
# Distributed under the Terms of Use in http://www.unicode.org/copyright.html.
#
# Permission is hereby granted, free of charge, to any person obtaining a copy of
# the Unicode data files and associated documentation (the "Data Files") or
# Unicode software and associated documentation (the "Software") to deal
# in the Data Files or Software without restriction, including without limitation
# the rights to use, copy, modify, merge, publish, distribute, and/or sell copies
# of the Data Files or Software, and to permit persons to whom the Data Files or
# Software are furnished to do so, provided that (a) the above copyright notice(s)
# and this permission notice appear in all copies of the Data Files or Software,
# (b) both the above copyright notice(s) and this permission notice appear
# in associated documentation, and (c) there is clear notice in each modified Data File
# or in the Software as well as in the documentation associated with the Data File(s)
# or Software that the data or software has been modified.
#
# [改造者の定める利用規定]
# (1)本マッピングテーブルの著作権はUnicode, Inc.に帰属します。
# (2)本マッピングテーブルを使用したことによるいかなる損害、トラブル、損失、結果についても
#    改造者は責任を負いません。
# (3)本マッピングテーブル(utfjpmap.txt)内の著作権表記、利用規定を削除することはできません。
# (4)本マッピングテーブルは商用目的、非商用目的のいずれにも自由にお使いいただけます。
# (5)本マッピングテーブル(utfjpmap.txt)は改変の有無を問わず自由に再配布できます。
#    改造者の事前・事後の承諾を得る必要はありませんし、改造者に連絡する必要もありません。
# (6)前(5)項の再配布に伴って発生したいかなる損害、トラブル、損失、結果についても
#    改造者（毛流麦花）は責任を負いません。
# (7)本マッピングテーブルの誤謬について改造者は修正する義務を負いません。
# (8)改造者は本マッピングテーブルに関する依頼・質問に答える義務を負いません。
#
#
# ■本ファイルは必ずEUC+LF（文字コード:EUC、改行コード:LF）で保存してください。■
#
#
# [記述内容]
# 1番目のカラム         JISコード
# 2番目のカラム         Unicode番号(UCS-2,UCS-4)
# 3番目のカラム(OPTION) u2j,j2u
#
# ・#で始まる行はコメント行とみなされ、無視されます。
# ・JISコードとUnicode番号は16進数表記で記述します。(頭に0xを付けます。)
# ・各カラムの間は1以上の任意の数の半角スペース・タブで区切ります。
# ・3番目のカラムがない場合、JIS<->Unicode双方向の変換が定義されます。
# ・3番目のカラムにu2jがあると、Unicode->JIS片方向のみの変換が定義されます。(JIS->Unicode方向は定義されません。)
# ・3番目のカラムにj2uがあると、JIS->Unicode片方向のみの変換が定義されます。(Unicode->JIS方向は定義されません。)
# ・いずれのカラムも英文字の大文字・小文字は区別されません。
# ・2番目もしくは3番目のカラムの後方に半角スペース・タブで区切って#を記述すると、#以降にコメントを記述できます。
# ・本テーブルでマッピングが定義されていない文字は、変換時に削除されます。
# ・同じ文字番号(JISコードorUnicode番号)に対して同方向の定義が複数行われた場合、
#   最後に行われた定義のみが有効になります。(記述例を参照してください。)
#
# [JISコード]
# 0x00-0xDF                JIS X 0201 ASCIIコード(ANK文字)
# 0x2121-0x7426            JIS X 0208 JIS第一水準・第二水準漢字
# 0x222F-0x6D63            JIS X 0212 JIS補助漢字(末尾にHを付けて記述します。0x222FH-0x6D63H)
#
# [Unicode番号(UCS-2,UCS-4)]
# 0x0000     - 0xFFFF      UCS-2(U+0000     - U+FFFF)
# 0x00000000 - 0x0010FFFF  UCS-4(U+00000000 - U+0010FFFF)
#
# [記述例：一般]
# 0x4B4C  0x5317        # "北"(JIS:4B4C,U+5317)について、JIS<->Unicode双方向の変換が定義されます。
# 0x4B4C  0xF963   u2j  # CJK互換領域で定義されている"北"(U+F963)から"北"(JIS:4B4C)へのUnicode->JIS片方向のみの
#                       # 変換が定義されます。(JIS->Unicode方向の変換は定義されません。)
# 0x4B4C  0x2F82B  u2j  # Unicode番号はUCS-4でも指定できます。BMP以外のプレーンの文字を指定してもかまいません。
#                       # U+2F82BはCJK互換領域補遺で定義されている"北"です。
#
# [記述例：u2jの活用法]
# 0x3962  0x9AD8        # "高"(JIS:3962,U+9AD8)のJIS<->Unicode双方向の変換を定義します。
# 0x3962  0x9AD9   u2j  # 俗字体の"高"(U+9AD9)から"高"(JIS:3962)へのUnicode->JIS片方向の変換を定義します。
#                       # 俗字体の"高"はJIS X 0208,0212では未定義です。(IBM拡張文字では定義されています。)
#
# [同方向の定義が複数行われた場合の記述例]
# 0x4B4C  0x5317        # "北"(JIS:4B4C,U+5317)について、JIS<->Unicode双方向の変換が定義されます。
# 0x4B4C  0xF963        # "北"(JIS:4B4C)とCJK互換領域で定義されている"北"(U+F963)とのJIS<->Unicode双方向の
#                       # 変換が定義されます。上行のJIS:4B4C->U+5317の変換定義は無効になります。
#
#----------------------------------------------------------------------------------------
0x00       0x0000
0x314C     0x6D29
0x314D     0x745B
0x314E     0x76C8
0x314F     0x7A4E
0x3150     0x9834
0x3151     0x82F1
0x3152     0x885B
0x3153     0x8A60
0x3154     0x92ED
0x3155     0x6DB2
0x3156     0x75AB
0x3157     0x76CA
0x3158     0x99C5
0x3159     0x60A6
0x315A     0x8B01
0x315B     0x8D8A
0x315C     0x95B2
0x315D     0x698E
0x315E     0x53AD
0x315F     0x5186
0x3160     0x5712
0x3161     0x5830
0x3162     0x5944
0x3163     0x5BB4
0x3164     0x5EF6
0x3165     0x6028
0x3166     0x63A9
0x3167     0x63F4
0x3168     0x6CBF
0x3169     0x6F14
0x316A     0x708E
0x316B     0x7114
0x316C     0x7159
0x316D     0x71D5
0x316E     0x733F
0x316F     0x7E01
0x3170     0x8276
0x3171     0x82D1
0x3172     0x8597
0x3173     0x9060
0x3174     0x925B
0x3175     0x9D1B
0x3176     0x5869
0x3177     0x65BC
0x3178     0x6C5A
0x3179     0x7525
0x317A     0x51F9
0x317B     0x592E
0x317C     0x5965
0x317D     0x5F80
0x317E     0x5FDC
0x3221     0x62BC
0x3222     0x65FA
0x3223     0x6A2A
0x3224     0x6B27
0x3225     0x6BB4
0x3226     0x738B
0x3227     0x7FC1
0x3228     0x8956
0x3229     0x9D2C
0x322A     0x9D0E
0x322B     0x9EC4
0x322C     0x5CA1
0x322D     0x6C96
0x322E     0x837B
0x322F     0x5104
0x3230     0x5C4B
0x3231     0x61B6
0x3232     0x81C6
0x3233     0x6876
0x3234     0x7261
0x3235     0x4E59
0x3236     0x4FFA
0x3237     0x5378
0x3238     0x6069
0x3239     0x6E29
0x323A     0x7A4F
0x323B     0x97F3
0x323C     0x4E0B
0x323D     0x5316
0x323E     0x4EEE
0x323F     0x4F55
0x3240     0x4F3D
0x3241     0x4FA1
0x3242     0x4F73
0x3243     0x52A0
0x3244     0x53EF
0x3245     0x5609
0x3246     0x590F
0x3247     0x5AC1
0x3248     0x5BB6
0x3249     0x5BE1
0x324A     0x79D1
0x324B     0x6687
0x324C     0x679C
0x324D     0x67B6
0x324E     0x6B4C
0x324F     0x6CB3
0x3250     0x706B
0x3251     0x73C2
0x3252     0x798D
0x3253     0x79BE
0x3254     0x7A3C
0x3255     0x7B87
0x3256     0x82B1
0x3257     0x82DB
0x3258     0x8304
0x3259     0x8377
0x325A     0x83EF
0x325B     0x83D3
0x325C     0x8766
0x325D     0x8AB2
0x325E     0x5629
0x325F     0x8CA8
0x3260     0x8FE6
0x3261     0x904E
0x3262     0x971E
0x3263     0x868A
0x3264     0x4FC4
0x3265     0x5CE8
0x3266     0x6211
0x3267     0x7259
0x3268     0x753B
0x3269     0x81E5
0x326A     0x82BD
0x326B     0x86FE
0x326C     0x8CC0
0x326D     0x96C5
0x326E     0x9913
0x326F     0x99D5
0x3270     0x4ECB
0x3271     0x4F1A
0x3272     0x89E3
0x3273     0x56DE
0x3274     0x584A
0x3275     0x58CA
0x3276     0x5EFB
0x3277     0x5FEB
0x3278     0x602A
0x3279     0x6094
0x327A     0x6062
0x327B     0x61D0
0x327C     0x6212
0x327D     0x62D0
0x327E     0x6539
0x3321     0x9B41
0x3322     0x6666
0x3323     0x68B0
0x3324     0x6D77
0x3325     0x7070
0x3326     0x754C
0x3327     0x7686
0x3328     0x7D75
0x3329     0x82A5
0x332A     0x87F9
0x332B     0x958B
0x332C     0x968E
0x332D     0x8C9D
0x332E     0x51F1
0x332F     0x52BE
0x3330     0x5916
0x3331     0x54B3
0x3332     0x5BB3
0x3333     0x5D16
0x3334     0x6168
0x3335     0x6982
0x3336     0x6DAF
0x3337     0x788D
0x3338     0x84CB
0x3339     0x8857
0x333A     0x8A72
0x333B     0x93A7
0x333C     0x9AB8
0x333D     0x6D6C
0x333E     0x99A8
0x333F     0x86D9
0x3340     0x57A3
0x3341     0x67FF
0x3342     0x86CE
0x3343     0x920E
0x3344     0x5283
0x3345     0x5687
0x3346     0x5404
0x3347     0x5ED3
0x3348     0x62E1
0x3349     0x64B9
0x334A     0x683C
0x334B     0x6838
0x334C     0x6BBB
0x334D     0x7372
0x334E     0x78BA
0x334F     0x7A6B
0x3350     0x899A
0x3351     0x89D2
0x3352     0x8D6B
0x3353     0x8F03
0x3354     0x90ED
0x3355     0x95A3
0x3356     0x9694
0x3357     0x9769
0x3358     0x5B66
0x3359     0x5CB3
0x335A     0x697D
0x335B     0x984D
0x335C     0x984E
0x335D     0x639B
0x335E     0x7B20
0x335F     0x6A2B
0x3360     0x6A7F
0x3361     0x68B6
0x3362     0x9C0D
0x3363     0x6F5F
0x3364     0x5272
0x3365     0x559D
0x3366     0x6070
0x3367     0x62EC
0x3368     0x6D3B
0x3369     0x6E07
0x336A     0x6ED1
0x336B     0x845B
0x336C     0x8910
0x336D     0x8F44
0x336E     0x4E14
0x336F     0x9C39
0x3370     0x53F6
0x3371     0x691B
0x3372     0x6A3A
0x3373     0x9784
0x3374     0x682A
0x3375     0x515C
0x3376     0x7AC3
0x3377     0x84B2
0x3378     0x91DC
0x3379     0x938C
0x337A     0x565B
0x337B     0x9D28
0x337C     0x6822
0x337D     0x8305
0x337E     0x8431
0x3421     0x7CA5
0x3422     0x5208
0x3423     0x82C5
0x3424     0x74E6
0x3425     0x4E7E
0x3426     0x4F83
0x3427     0x51A0
0x3428     0x5BD2
0x3429     0x520A
0x342A     0x52D8
0x342B     0x52E7
0x342C     0x5DFB
0x342D     0x559A
0x342E     0x582A
0x342F     0x59E6
0x3430     0x5B8C
0x3431     0x5B98
0x3432     0x5BDB
0x3433     0x5E72
0x3434     0x5E79
0x3435     0x60A3
0x3436     0x611F
0x3437     0x6163
0x3438     0x61BE
0x3439     0x63DB
0x343A     0x6562
0x343B     0x67D1
0x343C     0x6853
0x343D     0x68FA
0x343E     0x6B3E
0x343F     0x6B53
0x3440     0x6C57
0x3441     0x6F22
0x3442     0x6F97
0x3443     0x6F45
0x3444     0x74B0
0x3445     0x7518
0x3446     0x76E3
0x3447     0x770B
0x3448     0x7AFF
0x3449     0x7BA1
0x344A     0x7C21
0x344B     0x7DE9
0x344C     0x7F36
0x344D     0x7FF0
0x344E     0x809D
0x344F     0x8266
0x3450     0x839E
0x3451     0x89B3
0x3452     0x8ACC
0x3453     0x8CAB
0x3454     0x9084
0x3455     0x9451
0x3456     0x9593
0x3457     0x9591
0x3458     0x95A2
0x3459     0x9665
0x345A     0x97D3
0x345B     0x9928
0x345C     0x8218
0x345D     0x4E38
0x345E     0x542B
0x345F     0x5CB8
0x3460     0x5DCC
0x3461     0x73A9
0x3462     0x764C
0x3463     0x773C
0x3464     0x5CA9
0x3465     0x7FEB
0x3466     0x8D0B
0x3467     0x96C1
0x3468     0x9811
0x3469     0x9854
0x346A     0x9858
0x346B     0x4F01
0x346C     0x4F0E
0x346D     0x5371
0x346E     0x559C
0x346F     0x5668
0x3470     0x57FA
0x3471     0x5947
0x3472     0x5B09
0x3473     0x5BC4
0x3474     0x5C90
0x3475     0x5E0C
0x3476     0x5E7E
0x3477     0x5FCC
0x3478     0x63EE
0x3479     0x673A
0x347A     0x65D7
0x347B     0x65E2
0x347C     0x671F
0x347D     0x68CB
0x347E     0x68C4
0x3521     0x6A5F
0x3522     0x5E30
0x3523     0x6BC5
0x3524     0x6C17
0x3525     0x6C7D
0x3526     0x757F
0x3527     0x7948
0x3528     0x5B63
0x3529     0x7A00
0x352A     0x7D00
0x352B     0x5FBD
0x352C     0x898F
0x352D     0x8A18
0x352E     0x8CB4
0x352F     0x8D77
0x3530     0x8ECC
0x3531     0x8F1D
0x3532     0x98E2
0x3533     0x9A0E
0x3534     0x9B3C
0x3535     0x4E80
0x3536     0x507D
0x3537     0x5100
0x3538     0x5993
0x3539     0x5B9C
0x353A     0x622F
0x353B     0x6280
0x353C     0x64EC
0x353D     0x6B3A
0x353E     0x72A0
0x353F     0x7591
0x3540     0x7947
0x3541     0x7FA9
0x3542     0x87FB
0x3543     0x8ABC
0x3544     0x8B70
0x3545     0x63AC
0x3546     0x83CA
0x3547     0x97A0
0x3548     0x5409
0x3549     0x5403
0x354A     0x55AB
0x354B     0x6854
0x354C     0x6A58
0x354D     0x8A70
0x354E     0x7827
0x354F     0x6775
0x3550     0x9ECD
0x3551     0x5374
0x3552     0x5BA2
0x3553     0x811A
0x3554     0x8650
0x3555     0x9006
0x3556     0x4E18
0x3557     0x4E45
0x3558     0x4EC7
0x3559     0x4F11
0x355A     0x53CA
0x355B     0x5438
0x355C     0x5BAE
0x355D     0x5F13
0x355E     0x6025
0x355F     0x6551
0x3560     0x673D
0x3561     0x6C42
0x3562     0x6C72
0x3563     0x6CE3
0x3564     0x7078
0x3565     0x7403
0x3566     0x7A76
0x3567     0x7AAE
0x3568     0x7B08
0x3569     0x7D1A
0x356A     0x7CFE
0x356B     0x7D66
0x356C     0x65E7
0x356D     0x725B
0x356E     0x53BB
0x356F     0x5C45
0x3570     0x5DE8
0x3571     0x62D2
0x3572     0x62E0
0x3573     0x6319
0x3574     0x6E20
0x3575     0x865A
0x3576     0x8A31
0x3577     0x8DDD
0x3578     0x92F8
0x3579     0x6F01
0x357A     0x79A6
0x357B     0x9B5A
0x357C     0x4EA8
0x357D     0x4EAB
0x357E     0x4EAC
0x3621     0x4F9B
0x3622     0x4FA0
0x3623     0x50D1
0x3624     0x5147
0x3625     0x7AF6
0x3626     0x5171
0x3627     0x51F6
0x3628     0x5354
0x3629     0x5321
0x362A     0x537F
0x362B     0x53EB
0x362C     0x55AC
0x362D     0x5883
0x362E     0x5CE1
0x362F     0x5F37
0x3630     0x5F4A
0x3631     0x602F
0x3632     0x6050
0x3633     0x606D
0x3634     0x631F
0x3635     0x6559
0x3636     0x6A4B
0x3637     0x6CC1
0x3638     0x72C2
0x3639     0x72ED
0x363A     0x77EF
0x363B     0x80F8
0x363C     0x8105
0x363D     0x8208
0x363E     0x854E
0x363F     0x90F7
0x3640     0x93E1
0x3641     0x97FF
0x3642     0x9957
0x3643     0x9A5A
0x3644     0x4EF0
0x3645     0x51DD
0x3646     0x5C2D
0x3647     0x6681
0x3648     0x696D
0x3649     0x5C40
0x364A     0x66F2
0x364B     0x6975
0x364C     0x7389
0x364D     0x6850
0x364E     0x7C81
0x364F     0x50C5
0x3650     0x52E4
0x3651     0x5747
0x3652     0x5DFE
0x3653     0x9326
0x3654     0x65A4
0x3655     0x6B23
0x3656     0x6B3D
0x3657     0x7434
0x3658     0x7981
0x3659     0x79BD
0x365A     0x7B4B
0x365B     0x7DCA
0x365C     0x82B9
0x365D     0x83CC
0x365E     0x887F
0x365F     0x895F
0x3660     0x8B39
0x3661     0x8FD1
0x3662     0x91D1
0x3663     0x541F
0x3664     0x9280
0x3665     0x4E5D
0x3666     0x5036
0x3667     0x53E5
0x3668     0x533A
0x3669     0x72D7
0x366A     0x7396
0x366B     0x77E9
0x366C     0x82E6
0x366D     0x8EAF
0x366E     0x99C6
0x366F     0x99C8
0x3670     0x99D2
0x3671     0x5177
0x3672     0x611A
0x3673     0x865E
0x3674     0x55B0
0x3675     0x7A7A
0x3676     0x5076
0x3677     0x5BD3
0x3678     0x9047
0x3679     0x9685
0x367A     0x4E32
0x367B     0x6ADB
0x367C     0x91E7
0x367D     0x5C51
0x367E     0x5C48
0x3721     0x6398
0x3722     0x7A9F
0x3723     0x6C93
0x3724     0x9774
0x3725     0x8F61
0x3726     0x7AAA
0x3727     0x718A
0x3728     0x9688
0x3729     0x7C82
0x372A     0x6817
0x372B     0x7E70
0x372C     0x6851
0x372D     0x936C
0x372E     0x52F2
0x372F     0x541B
0x3730     0x85AB
0x3731     0x8A13
0x3732     0x7FA4
0x3733     0x8ECD
0x3734     0x90E1
0x3735     0x5366
0x3736     0x8888
0x3737     0x7941
0x3738     0x4FC2
0x3739     0x50BE
0x373A     0x5211
0x373B     0x5144
0x373C     0x5553
0x373D     0x572D
0x373E     0x73EA
0x373F     0x578B
0x3740     0x5951
0x3741     0x5F62
0x3742     0x5F84
0x3743     0x6075
0x3744     0x6176
0x3745     0x6167
0x3746     0x61A9
0x3747     0x63B2
0x3748     0x643A
0x3749     0x656C
0x374A     0x666F
0x374B     0x6842
0x374C     0x6E13
0x374D     0x7566
0x374E     0x7A3D
0x374F     0x7CFB
0x3750     0x7D4C
0x3751     0x7D99
0x3752     0x7E4B
0x3753     0x7F6B
0x3754     0x830E
0x3755     0x834A
0x3756     0x86CD
0x3757     0x8A08
0x3758     0x8A63
0x3759     0x8B66
0x375A     0x8EFD
0x375B     0x981A
0x375C     0x9D8F
0x375D     0x82B8
0x375E     0x8FCE
0x375F     0x9BE8
0x3760     0x5287
0x3761     0x621F
0x3762     0x6483
0x3763     0x6FC0
0x3764     0x9699
0x3765     0x6841
0x3766     0x5091
0x3767     0x6B20
0x3768     0x6C7A
0x3769     0x6F54
0x376A     0x7A74
0x376B     0x7D50
0x376C     0x8840
0x376D     0x8A23
0x376E     0x6708
0x376F     0x4EF6
0x3770     0x5039
0x3771     0x5026
0x3772     0x5065
0x3773     0x517C
0x3774     0x5238
0x3775     0x5263
0x3776     0x55A7
0x3777     0x570F
0x3778     0x5805
0x3779     0x5ACC
0x377A     0x5EFA
0x377B     0x61B2
0x377C     0x61F8
0x377D     0x62F3
0x377E     0x6372
0x3821     0x691C
0x3822     0x6A29
0x3823     0x727D
0x3824     0x72AC
0x3825     0x732E
0x3826     0x7814
0x3827     0x786F
0x3828     0x7D79
0x3829     0x770C
0x382A     0x80A9
0x382B     0x898B
0x382C     0x8B19
0x382D     0x8CE2
0x382E     0x8ED2
0x382F     0x9063
0x3830     0x9375
0x3831     0x967A
0x3832     0x9855
0x3833     0x9A13
0x3834     0x9E78
0x3835     0x5143
0x3836     0x539F
0x3837     0x53B3
0x3838     0x5E7B
0x3839     0x5F26
0x383A     0x6E1B
0x383B     0x6E90
0x383C     0x7384
0x383D     0x73FE
0x383E     0x7D43
0x383F     0x8237
0x3840     0x8A00
0x3841     0x8AFA
0x3842     0x9650
0x3843     0x4E4E
0x3844     0x500B
0x3845     0x53E4
0x3846     0x547C
0x3847     0x56FA
0x3848     0x59D1
0x3849     0x5B64
0x384A     0x5DF1
0x384B     0x5EAB
0x384C     0x5F27
0x384D     0x6238
0x384E     0x6545
0x384F     0x67AF
0x3850     0x6E56
0x3851     0x72D0
0x3852     0x7CCA
0x3853     0x88B4
0x3854     0x80A1
0x3855     0x80E1
0x3856     0x83F0
0x3857     0x864E
0x3858     0x8A87
0x3859     0x8DE8
0x385A     0x9237
0x385B     0x96C7
0x385C     0x9867
0x385D     0x9F13
0x385E     0x4E94
0x385F     0x4E92
0x3860     0x4F0D
0x3861     0x5348
0x3862     0x5449
0x3863     0x543E
0x3864     0x5A2F
0x3865     0x5F8C
0x3866     0x5FA1
0x3867     0x609F
0x3868     0x68A7
0x3869     0x6A8E
0x386A     0x745A
0x386B     0x7881
0x386C     0x8A9E
0x386D     0x8AA4
0x386E     0x8B77
0x386F     0x9190
0x3870     0x4E5E
0x3871     0x9BC9
0x3872     0x4EA4
0x3873     0x4F7C
0x3874     0x4FAF
0x3875     0x5019
0x3876     0x5016
0x3877     0x5149
0x3878     0x516C
0x3879     0x529F
0x387A     0x52B9
0x387B     0x52FE
0x387C     0x539A
0x387D     0x53E3
0x387E     0x5411
0x3921     0x540E
0x3922     0x5589
0x3923     0x5751
0x3924     0x57A2
0x3925     0x597D
0x3926     0x5B54
0x3927     0x5B5D
0x3928     0x5B8F
0x3929     0x5DE5
0x392A     0x5DE7
0x392B     0x5DF7
0x392C     0x5E78
0x392D     0x5E83
0x392E     0x5E9A
0x392F     0x5EB7
0x3930     0x5F18
0x3931     0x6052
0x3932     0x614C
0x3933     0x6297
0x3934     0x62D8
0x3935     0x63A7
0x3936     0x653B
0x3937     0x6602
0x3938     0x6643
0x3939     0x66F4
0x393A     0x676D
0x393B     0x6821
0x393C     0x6897
0x393D     0x69CB
0x393E     0x6C5F
0x393F     0x6D2A
0x3940     0x6D69
0x3941     0x6E2F
0x3942     0x6E9D
0x3943     0x7532
0x3944     0x7687
0x3945     0x786C
0x3946     0x7A3F
0x3947     0x7CE0
0x3948     0x7D05
0x3949     0x7D18
0x394A     0x7D5E
0x394B     0x7DB1
0x394C     0x8015
0x394D     0x8003
0x394E     0x80AF
0x394F     0x80B1
0x3950     0x8154
0x3951     0x818F
0x3952     0x822A
0x3953     0x8352
0x3954     0x884C
0x3955     0x8861
0x3956     0x8B1B
0x3957     0x8CA2
0x3958     0x8CFC
0x3959     0x90CA
0x395A     0x9175
0x395B     0x9271
0x395C     0x783F
0x395D     0x92FC
0x395E     0x95A4
0x395F     0x964D
0x3960     0x9805
0x3961     0x9999
0x3962     0x9AD8
0x3963     0x9D3B
0x3964     0x525B
0x3965     0x52AB
0x3966     0x53F7
0x3967     0x5408
0x3968     0x58D5
0x3969     0x62F7
0x396A     0x6FE0
0x396B     0x8C6A
0x396C     0x8F5F
0x396D     0x9EB9
0x396E     0x514B
0x396F     0x523B
0x3970     0x544A
0x3971     0x56FD
0x3972     0x7A40
0x3973     0x9177
0x3974     0x9D60
0x3975     0x9ED2
0x3976     0x7344
0x3977     0x6F09
0x3978     0x8170
0x3979     0x7511
0x397A     0x5FFD
0x397B     0x60DA
0x397C     0x9AA8
0x397D     0x72DB
0x397E     0x8FBC
0x3A21     0x6B64
0x3A22     0x9803
0x3A23     0x4ECA
0x3A24     0x56F0
0x3A25     0x5764
0x3A26     0x58BE
0x3A27     0x5A5A
0x3A28     0x6068
0x3A29     0x61C7
0x3A2A     0x660F
0x3A2B     0x6606
0x3A2C     0x6839
0x3A2D     0x68B1
0x3A2E     0x6DF7
0x3A2F     0x75D5
0x3A30     0x7D3A
0x3A31     0x826E
0x3A32     0x9B42
0x3A33     0x4E9B
0x3A34     0x4F50
0x3A35     0x53C9
0x3A36     0x5506
0x3A37     0x5D6F
0x3A38     0x5DE6
0x3A39     0x5DEE
0x3A3A     0x67FB
0x3A3B     0x6C99
0x3A3C     0x7473
0x3A3D     0x7802
0x3A3E     0x8A50
0x3A3F     0x9396
0x3A40     0x88DF
0x3A41     0x5750
0x3A42     0x5EA7
0x3A43     0x632B
0x3A44     0x50B5
0x3A45     0x50AC
0x3A46     0x518D
0x3A47     0x6700
0x3A48     0x54C9
0x3A49     0x585E
0x3A4A     0x59BB
0x3A4B     0x5BB0
0x3A4C     0x5F69
0x3A4D     0x624D
0x3A4E     0x63A1
0x3A4F     0x683D
0x3A50     0x6B73
0x3A51     0x6E08
0x3A52     0x707D
0x3A53     0x91C7
0x3A54     0x7280
0x3A55     0x7815
0x3A56     0x7826
0x3A57     0x796D
0x3A58     0x658E
0x3A59     0x7D30
0x3A5A     0x83DC
0x3A5B     0x88C1
0x3A5C     0x8F09
0x3A5D     0x969B
0x3A5E     0x5264
0x3A5F     0x5728
0x3A60     0x6750
0x3A61     0x7F6A
0x3A62     0x8CA1
0x3A63     0x51B4
0x3A64     0x5742
0x3A65     0x962A
0x3A66     0x583A
0x3A67     0x698A
0x3A68     0x80B4
0x3A69     0x54B2
0x3A6A     0x5D0E
0x3A6B     0x57FC
0x3A6C     0x7895
0x3A6D     0x9DFA
0x3A6E     0x4F5C
0x3A6F     0x524A
0x3A70     0x548B
0x3A71     0x643E
0x3A72     0x6628
0x3A73     0x6714
0x3A74     0x67F5
0x3A75     0x7A84
0x3A76     0x7B56
0x3A77     0x7D22
0x3A78     0x932F
0x3A79     0x685C
0x3A7A     0x9BAD
0x3A7B     0x7B39
0x3A7C     0x5319
0x3A7D     0x518A
0x3A7E     0x5237
0x3B21     0x5BDF
0x3B22     0x62F6
0x3B23     0x64AE
0x3B24     0x64E6
0x3B25     0x672D
0x3B26     0x6BBA
0x3B27     0x85A9
0x3B28     0x96D1
0x3B29     0x7690
0x3B2A     0x9BD6
0x3B2B     0x634C
0x3B2C     0x9306
0x3B2D     0x9BAB
0x3B2E     0x76BF
0x3B2F     0x6652
0x3B30     0x4E09
0x3B31     0x5098
0x3B32     0x53C2
0x3B33     0x5C71
0x3B34     0x60E8
0x3B35     0x6492
0x3B36     0x6563
0x3B37     0x685F
0x3B38     0x71E6
0x3B39     0x73CA
0x3B3A     0x7523
0x3B3B     0x7B97
0x3B3C     0x7E82
0x3B3D     0x8695
0x3B3E     0x8B83
0x3B3F     0x8CDB
0x3B40     0x9178
0x3B41     0x9910
0x3B42     0x65AC
0x3B43     0x66AB
0x3B44     0x6B8B
0x3B45     0x4ED5
0x3B46     0x4ED4
0x3B47     0x4F3A
0x3B48     0x4F7F
0x3B49     0x523A
0x3B4A     0x53F8
0x3B4B     0x53F2
0x3B4C     0x55E3
0x3B4D     0x56DB
0x3B4E     0x58EB
0x3B4F     0x59CB
0x3B50     0x59C9
0x3B51     0x59FF
0x3B52     0x5B50
0x3B53     0x5C4D
0x3B54     0x5E02
0x3B55     0x5E2B
0x3B56     0x5FD7
0x3B57     0x601D
0x3B58     0x6307
0x3B59     0x652F
0x3B5A     0x5B5C
0x3B5B     0x65AF
0x3B5C     0x65BD
0x3B5D     0x65E8
0x3B5E     0x679D
0x3B5F     0x6B62
0x3B60     0x6B7B
0x3B61     0x6C0F
0x3B62     0x7345
0x3B63     0x7949
0x3B64     0x79C1
0x3B65     0x7CF8
0x3B66     0x7D19
0x3B67     0x7D2B
0x3B68     0x80A2
0x3B69     0x8102
0x3B6A     0x81F3
0x3B6B     0x8996
0x3B6C     0x8A5E
0x3B6D     0x8A69
0x3B6E     0x8A66
0x3B6F     0x8A8C
0x3B70     0x8AEE
0x3B71     0x8CC7
0x3B72     0x8CDC
0x3B73     0x96CC
0x3B74     0x98FC
0x3B75     0x6B6F
0x3B76     0x4E8B
0x3B77     0x4F3C
0x3B78     0x4F8D
0x3B79     0x5150
0x3B7A     0x5B57
0x3B7B     0x5BFA
0x3B7C     0x6148
0x3B7D     0x6301
0x3B7E     0x6642
0x3C21     0x6B21
0x3C22     0x6ECB
0x3C23     0x6CBB
0x3C24     0x723E
0x3C25     0x74BD
0x3C26     0x75D4
0x3C27     0x78C1
0x3C28     0x793A
0x3C29     0x800C
0x3C2A     0x8033
0x3C2B     0x81EA
0x3C2C     0x8494
0x3C2D     0x8F9E
0x3C2E     0x6C50
0x3C2F     0x9E7F
0x3C30     0x5F0F
0x3C31     0x8B58
0x3C32     0x9D2B
0x3C33     0x7AFA
0x3C34     0x8EF8
0x3C35     0x5B8D
0x3C36     0x96EB
0x3C37     0x4E03
0x3C38     0x53F1
0x3C39     0x57F7
0x3C3A     0x5931
0x3C3B     0x5AC9
0x3C3C     0x5BA4
0x3C3D     0x6089
0x3C3E     0x6E7F
0x3C3F     0x6F06
0x3C40     0x75BE
0x3C41     0x8CEA
0x3C42     0x5B9F
0x3C43     0x8500
0x3C44     0x7BE0
0x3C45     0x5072
0x3C46     0x67F4
